id	frase	0	0
1113	"Pedi então minha mãe para deixa agente ir ao cinema, ela deixou, cortamos o bolo e fomos para o cinema, fomos ver os vingadores, muito legal."	1	2
1114	"Comprei meu livro."	0	3
1115	"Fui olhar o celular como de costume e vi lá uma mensagem."	0	3
1116	"Quando li essa mensagem eu pensei vou ligar para ele e ver como ele está, e tenta adianta oq ele quer fala comigo."	0	3
1117	"Começamos a conversa e estava tudo certo ate que ele falou que ia voltar só para ver se eles deixam ele encostado no trabalho ou para ele assinar a carta de demissão."	0	3
1118	"Meu coração partiu em milhões de pedaços, comecei a chorar na hora, ele pediu para eu não chorar, e falou que também é difícil para ele."	-1	3
1119	"Ele só está fazendo isso porque não aguenta mais a mãe dele e que quando eles brigaram ele pegou toda a roupa dele e colocou em uma sacola e fez maior sacanagem com ele."	-1	3
1120	"Hoje eu acordei e vi seu lado da cama vazio."	-1	3
1121	"Seu cheiro ainda está ali de algum modo no meu imaginário."	0	2
1122	"Eu sempre fechava a janela e brigava com você por ela estar aberta."	-1	2
1123	"E agora a janela está sempre aberta como você sempre me pedia e nem percebi."	0	3
1124	"Eu brigava com você por deixar TV e as luz de vários cômodos acesa."	-1	2
1125	"E agora estão todas ligadas e nem percebi."	0	3
1126	"Seu lado do armário está vazio e eu não preenchi."	0	2
1127	"Seu lado da sapateira era cheio de sapatos que nunca acabava e eu sempre reclamava da confusão."	-1	2
1128	"No banheiro as suas gavetas estão vazias."	0	2
1129	"A janela não está com suas dezenas de xampus."	-1	2
1130	"No armário sobrou uma coisa e não sei se é sua."	0	3
1131	"É uma escova de dente de viagem que pode ser que minha mãe tenha esquecido quando veio levar suas coisas"	0	3
1132	"No meu computador tenho inúmeras fotos suas."	0	3
1133	"Tenho inúmeras fotos de você com outras pessoas que eu odeio."	-1	3
1134	"Eu odeio não porque me fizeram algo, mas pelo fato de você ter se entregado para elas."	-1	3
1135	"Apesar de todo o ódio, eu sinto sua falta."	-1	3
1136	"Vai chegando feriado ou final de semana e eu conto as horas para ir à casa dos meus pais."	0	3
1137	"Não tenho procurado amigos e nem mesmo ninguém."	0	2
1138	"Quando estava com você reclamava que não tinha tempo pra família e amigos."	-1	2
1139	"Agora eu simplesmente não reclamo de nada, fico quieto guardando isso tudo dentro de mim."	0	3
1140	"A vontade de chorar volta."	-1	3
1141	"Meus olhos começam a se encher de lágrimas."	-1	3
1142	"Antes de te conhecer eu tinha muitos amigos."	0	3
1143	"Eu saía cedo de casa e voltava muito tarde, isso quando eu voltava."	0	2
1144	"Eu saía pelo mundo aproveitando tudo que podia sem hora para acabar."	1	3
1145	"Eu não tinha medos."	1	3
1146	"Eu tinha amores, conquistas."	1	3
1147	"Eu fazia isso, porque eu não sabia o que era o amor."	0	2
1148	"Ela sai com as amigas, sai com os garotos."	0	2
1149	"Já me fiz essa pergunta e voltei três vezes e hoje o sofrimento é mil vezes maior."	-1	3
1150	"Dessa vez vou ter que ser forte."	1	2
1151	"Eu não sou uma pessoa de contar sonhos ou fatos reais, mas como foi uma experiência de tal proporções que estou abrindo mão."	0	2
1152	"Estou tendo um relacionamento com uma pessoa do local de trabalho, sim trabalhamos na mesma empresa mas em locais distintos, descreve-lo é falar de um homem alto, com uma voz que te faz ficar toda molhadinha, sim é uma voz que dispensa comentários."	1	2
1153	"Seu corpo é um espetáculo com direito a gostinho de quero mais, seu sorriso e tão safado quanto o próprio dono."	1	3
1154	"Estávamos uns dias sem ter contato, quando ele me liga perguntando se eu havia esquecido ele e porque eu havia sumido."	0	2
1155	"Fomos, nos encontrar, mas estávamos um sedento pelo outro que sentia o seu membro em mim, isso enquanto, estávamos nos \"devorando\" com beijos que dava agua na boca só em ver."	1	3
1157	"Ele gemia do jeito que deixa muito excitada."	1	3
1158	"Quando ele me virou, me beijou tanto que começamos a gozar juntos."	1	3
1159	"Meu corpo tremia, mais do que o dele, fiquei de perna bamba."	1	3
1160	"Tomamos banho juntos e quando começamos a nos secar ele me joga na cama e sua boca me faz gemer."	1	3
1161	"Minha cabeça e meu coração tinham ficado tão acelerados, que eu sempre esperava ele para poder gozar."	1	3
1162	"Desta vez ele me fez gozar de uma forma que o meu corpo tremia todo."	1	3
1163	"Depois de 6 horas de prazer saímos do motel."	1	3
